  tic; main; toc           % runs, computes, saves DataFile.mat, prints tables
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 18 workers.
-5.001000e-01: Error is 1.465702e+05 with 20 iterations
5.001000e-01: Error is 2.873676e+04 with 50 iterations
-7.000000e-01: Error is 3.786646e+06 with 4 iterations
9.000000e-01: Error is 1.658447e+04 with 200 iterations
6.000000e-01: Error is 1.588520e+04 with 200 iterations
7.000000e-01: Error is 1.608974e+04 with 200 iterations
3.000000e-01: Error is 1.546016e+04 with 200 iterations
-2.000000e-01: Error is 1.503837e+04 with 200 iterations
2.000000e-01: Error is 1.535378e+04 with 200 iterations
-7.000000e-01: Error is 1.874362e+06 with 5 iterations
8.000000e-01: Error is 1.629289e+04 with 200 iterations
4.000000e-01: Error is 1.558359e+04 with 200 iterations
-4.000000e-01: Error is 1.492510e+04 with 200 iterations
-3.000000e-01: Error is 2.223365e+04 with 80 iterations
5.001000e-01: Error is 2.344556e+04 with 80 iterations
-8.000000e-01: Error is 4.036135e+04 with 20 iterations
-9.000000e-01: Error is 4.025325e+04 with 20 iterations
-5.001000e-01: Error is 1.417442e+05 with 25 iterations
-3.000000e-01: Error is 2.020545e+04 with 100 iterations
1.000000e-01: Error is 1.382170e+04 with 250 iterations
-6.000000e-01: Error is 3.660475e+04 with 25 iterations
-7.000000e-01: Error is 2.823874e+05 with 8 iterations
-1.000000e-01: Error is 1.368609e+04 with 250 iterations
9.000000e-01: Error is 1.497236e+04 with 250 iterations
6.000000e-01: Error is 1.436557e+04 with 250 iterations
5.001000e-01: Error is 2.128874e+04 with 100 iterations
7.000000e-01: Error is 1.454371e+04 with 250 iterations
3.000000e-01: Error is 1.399606e+04 with 250 iterations
-2.000000e-01: Error is 1.363005e+04 with 250 iterations
2.000000e-01: Error is 1.390399e+04 with 250 iterations
8.000000e-01: Error is 1.471971e+04 with 250 iterations
-3.000000e-01: Error is 1.836002e+04 with 125 iterations
-7.000000e-01: Error is 1.094583e+05 with 10 iterations
-4.000000e-01: Error is 1.353002e+04 with 250 iterations
4.000000e-01: Error is 1.410375e+04 with 250 iterations
5.001000e-01: Error is 1.932473e+04 with 125 iterations
-8.000000e-01: Error is 3.636131e+04 with 25 iterations
-9.000000e-01: Error is 3.628360e+04 with 25 iterations
-3.000000e-01: Error is 1.650629e+04 with 160 iterations
-5.001000e-01: Error is 1.368991e+05 with 32 iterations
-6.000000e-01: Error is 3.277640e+04 with 32 iterations
5.001000e-01: Error is 1.735129e+04 with 160 iterations
-3.000000e-01: Error is 1.498078e+04 with 200 iterations
-7.000000e-01: Error is 4.560457e+04 with 16 iterations
5.001000e-01: Error is 1.572428e+04 with 200 iterations
-8.000000e-01: Error is 3.254942e+04 with 32 iterations
-9.000000e-01: Error is 3.247811e+04 with 32 iterations
-6.000000e-01: Error is 2.976527e+04 with 40 iterations
-5.001000e-01: Error is 1.328378e+05 with 40 iterations
-7.000000e-01: Error is 4.045187e+04 with 20 iterations
-3.000000e-01: Error is 1.357942e+04 with 250 iterations
-1.000000e-01: Error is 1.104104e+04 with 400 iterations
1.000000e-01: Error is 1.113492e+04 with 400 iterations
6.000000e-01: Error is 1.151352e+04 with 400 iterations
9.000000e-01: Error is 1.193251e+04 with 400 iterations
5.001000e-01: Error is 1.422565e+04 with 250 iterations
3.000000e-01: Error is 1.125638e+04 with 400 iterations
2.000000e-01: Error is 1.119287e+04 with 400 iterations
8.000000e-01: Error is 1.175736e+04 with 400 iterations
-2.000000e-01: Error is 1.100216e+04 with 400 iterations
7.000000e-01: Error is 1.163845e+04 with 400 iterations
-4.000000e-01: Error is 1.092670e+04 with 400 iterations
4.000000e-01: Error is 1.133196e+04 with 400 iterations
-7.000000e-01: Error is 3.645185e+04 with 25 iterations
-8.000000e-01: Error is 2.955147e+04 with 40 iterations
-9.000000e-01: Error is 2.948474e+04 with 40 iterations
-5.001000e-01: Error is 1.289438e+05 with 50 iterations
-6.000000e-01: Error is 2.706761e+04 with 50 iterations
-1.000000e-01: Error is 9.917231e+03 with 500 iterations
1.000000e-01: Error is 9.991428e+03 with 500 iterations
9.000000e-01: Error is 1.062576e+04 with 500 iterations
6.000000e-01: Error is 1.029337e+04 with 500 iterations
-7.000000e-01: Error is 3.263552e+04 with 32 iterations
3.000000e-01: Error is 1.008843e+04 with 500 iterations
-2.000000e-01: Error is 9.885486e+03 with 500 iterations
2.000000e-01: Error is 1.003746e+04 with 500 iterations
7.000000e-01: Error is 1.039359e+04 with 500 iterations
8.000000e-01: Error is 1.048642e+04 with 500 iterations
4.000000e-01: Error is 1.014905e+04 with 500 iterations
-4.000000e-01: Error is 9.822771e+03 with 500 iterations
-3.000000e-01: Error is 1.096599e+04 with 400 iterations
-8.000000e-01: Error is 2.687437e+04 with 50 iterations
5.001000e-01: Error is 1.141647e+04 with 400 iterations
-9.000000e-01: Error is 2.681611e+04 with 50 iterations
-7.000000e-01: Error is 2.963378e+04 with 40 iterations
1.000000e-01: Error is 1.530543e+04 with 625 iterations
-1.000000e-01: Error is 2.172534e+04 with 625 iterations
9.000000e-01: Error is 1.206183e+04 with 625 iterations
2.000000e-01: Error is 1.536727e+04 with 625 iterations
-3.000000e-01: Error is 9.856441e+03 with 500 iterations
6.000000e-01: Error is 1.174878e+04 with 625 iterations
-2.000000e-01: Error is 1.516344e+04 with 625 iterations
7.000000e-01: Error is 1.184542e+04 with 625 iterations
8.000000e-01: Error is 1.193040e+04 with 625 iterations
3.000000e-01: Error is 1.155133e+04 with 625 iterations
5.001000e-01: Error is 1.021607e+04 with 500 iterations
-4.000000e-01: Error is 1.128577e+04 with 625 iterations
4.000000e-01: Error is 1.161026e+04 with 625 iterations
-7.000000e-01: Error is 2.694781e+04 with 50 iterations
-6.000000e-01: Error is 2.216861e+04 with 80 iterations
-5.001000e-01: Error is 1.209731e+05 with 80 iterations
-3.000000e-01: Error is 1.512004e+04 with 625 iterations
5.001000e-01: Error is 1.167451e+04 with 625 iterations
-1.000000e-01: Error is 1.630509e+04 with 800 iterations
1.000000e-01: Error is 1.233446e+04 with 800 iterations
9.000000e-01: Error is 9.997748e+03 with 800 iterations
-2.000000e-01: Error is 1.228904e+04 with 800 iterations
